phase,strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,anomaly_score,smoothing_window,threshold_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,best_precision,best_recall,false_alarm_rate_per_day,auroc_fused_u,auroc_fused_d,auroc_max_d,auroc_max_u,auroc_mean_u,auroc_composite_ud,f1_at_f1opt,f1_at_q90,f1_at_q95,f1_at_q99,prec_at_q95,rec_at_q95,fpr_at_q95,prec_at_q99,rec_at_q99,fpr_at_q99
hyperparam,physics,1,2.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,1,2.0,False,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,3,0.1,True,True,domain,fused_u,1,f1_optimal_eval,0.7577,0.7097,0.8027,0.361,0.5558,0.255,0.5792,0.5342,0.5154,0.7577,0.7173,0.7579,0.711,0.6383,0.733,0.5558,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0
hyperparam,physics,3,0.1,False,True,domain,fused_u,1,f1_optimal_eval,0.711,0.6673,0.7437,0.1106,0.2205,0.56,0.1332,0.6393,5.524,0.711,0.7579,0.7579,0.711,0.6383,0.7756,0.2205,0.0998,0.0999,0.1002,0.0526,1.0,0.9972,0.0527,0.9954,0.9891
hyperparam,physics,3,0.25,True,True,domain,fused_u,1,f1_optimal_eval,0.7622,0.7147,0.8073,0.3356,0.5291,0.295,0.5198,0.5388,0.6609,0.7622,0.7103,0.7325,0.6979,0.6367,0.7415,0.5291,0.438,0.537,0.0603,0.5446,0.5297,0.0245,0.5385,0.032,0.0015
hyperparam,physics,3,0.25,False,True,domain,fused_u,1,f1_optimal_eval,0.6979,0.6623,0.7395,0.1051,0.2217,0.675,0.1347,0.6256,5.336,0.6979,0.7325,0.7325,0.6979,0.6367,0.7573,0.2217,0.0996,0.0996,0.0997,0.0524,1.0,1.0,0.0524,1.0,0.9997
hyperparam,physics,3,0.5,True,True,domain,fused_u,1,f1_optimal_eval,0.7661,0.7178,0.8096,0.3089,0.5077,0.345,0.4874,0.5297,0.7398,0.7661,0.7213,0.7346,0.6986,0.633,0.7461,0.5077,0.2056,0.2164,0.235,0.1276,0.7123,0.2696,0.1409,0.7078,0.2388
hyperparam,physics,3,0.5,False,True,domain,fused_u,1,f1_optimal_eval,0.6986,0.6561,0.7363,0.1081,0.2079,0.8,0.1233,0.6621,6.2516,0.6986,0.7346,0.7346,0.6986,0.633,0.7481,0.2079,0.0996,0.0996,0.0997,0.0524,1.0,1.0,0.0524,1.0,0.9997
hyperparam,physics,3,1.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7575,0.71,0.8004,0.2491,0.4504,0.405,0.4113,0.4977,0.9459,0.7575,0.7362,0.7286,0.6986,0.6253,0.7486,0.4504,0.132,0.1359,0.14,0.0743,0.7991,0.551,0.0768,0.79,0.5255
hyperparam,physics,3,1.0,False,True,domain,fused_u,1,f1_optimal_eval,0.6986,0.6561,0.7363,0.1081,0.1696,0.925,0.0955,0.7534,9.4715,0.6986,0.7286,0.7286,0.6986,0.6253,0.7379,0.1696,0.0996,0.0996,0.0997,0.0524,1.0,1.0,0.0524,1.0,0.9997
